feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
Dnmt1	17	1.0290133348923551	0.8254042432400237	42633408.5	0.80661014969321	0	0	76.51821862348179	14.447539114342861
Cox5a	17	1.7536298004149207	0.8528857951710875	40227306	0.7610874770759781	5.5543945390379106e-194	3.637396099246226e-192	92.4089068825911	52.698282146662436
Pkm	17	2.260385569366617	0.9739612823863368	38611964.5	0.7305257440369542	2.087741326339606e-143	7.564840484946598e-142	95.34412955465586	62.94932426117352
Tipin	17	0.9569455334161862	0.8316365333883513	43408767	0.8212796790073135	0	0	73.88663967611336	9.4154812419388
Pclaf	17	0.9282259843849533	0.8522160354002574	40369931.5	0.763785904904123	0	0	57.28744939271255	3.942277137035722
Mif	17	2.429158041059141	1.1460934278953119	42482307	0.8037513587163199	4.0389762034466723e-246	4.166081365120633e-244	95.64777327935222	64.32697160588444
Btg1	17	0.7508437380121394	-1.06470045062829	11645736.5	0.2203335269698804	1.1257009820201245e-201	8.058371663973329e-200	60.02024291497976	80.0811260444511
Nap1l1	17	1.4684665825101488	0.9150484577027893	41481308	0.7848127849160863	6.5875004879277165e-280	9.011756493760439e-278	88.25910931174089	35.1159878124007
Cdk4	17	1.2508408844081533	0.883476665152654	41661840.5	0.7882284007904186	0	0	79.8582995951417	25.223844327719313
Atp5b	17	2.0858316717429295	0.9026342035064356	40773207.5	0.7714157549717684	1.0753026512783609e-197	7.324081454962422e-196	94.63562753036437	63.347477428640865
Pa2g4	17	1.313830086670968	0.903129656493174	41455152.5	0.7843179314077092	0	0	80.66801619433198	27.511823092883713
Hnrnpab	17	2.022655022229871	1.1298429680009279	43664540	0.826118820541528	2.9072378209466042e-303	4.623653844791188e-301	95.1417004048583	51.81972820905845
Hint1	17	2.0142824977684395	0.866316506305262	40500065.5	0.76624799763640306	4.6133453068510544e-191	2.9551955006286962e-189	94.33198380566802	62.39789147054975
Eif5a	17	2.263292817941143	1.102487603858595	41937791.5	0.7934493034873725	3.234318759598902e-233	3.135735169779296e-231	93.92712550607287	60.870703030076456
Ccl5	17	1.261368035183301	-1.2764116396002996	20238741.5	0.3829103720599112	1.8662715387542196e-41	1.5184621126179431e-40	37.14574898785425	50.56358300465447
Nme1	17	1.6389968445272443	0.9323902899535826	41145597	0.778461242557852	2.8912609884029364e-240	2.9261555175733167e-238	89.06882591093117	43.10709011720284
Alyref	17	1.3578766780065112	0.8554649751443988	41172697	0.7789739656974219	2.07551969403348e-279	2.827348241429152e-277	86.33603238866397	32.848570947903625
Siva1	17	1.0407859355624758	0.8553288659418472	43174811.5	0.8168533174397989	0	0	77.02429149797571	13.466175673402248
Tkt	17	1.2890554405910426	0.8966296237335545	41616330	0.7873673570102194	0	0	80.66801619433198	26.72860160382825
