sample_id	age	genotype	new_annotation	entropy
141	6mos	CD70-/-	27_Light Zone	1.79175946922805
141	6mos	CD70-/-	25_Ig-restricted	1.6094379124341
141	6mos	CD70-/-	11_Follicular	3.36729582998647
141	6mos	CD70-/-	24_Follicular	2.63905732961526
141	6mos	CD70-/-	14_Follicular Serpina3+	2.07944154167984
141	6mos	CD70-/-	7_Age-associated/autoimmune	2.99573227355399
141	6mos	CD70-/-	22_Pre-plasmablasts	NA
141	6mos	CD70-/-	16_Other	1.09861228866811
141	6mos	CD70-/-	8_Age-associated/autoimmune	2.70805020110221
141	6mos	CD70-/-	20_Ig-restricted	2.94443897916644
141	6mos	CD70-/-	18_Cycling MHCII low	1.94591014905531
141	6mos	CD70-/-	15_Plasmablasts	2.39789527279837
141	6mos	CD70-/-	23_Ig-restricted	2.30258509299405
141	6mos	CD70-/-	21_Cycling MHCII low	1.09861228866811
110	6mos	CD70-/-	0_Follicular	5.13726507009177
110	6mos	CD70-/-	9_Follicular Hspa1+	4.13722223396717
110	6mos	CD70-/-	24_Follicular	2.04319187054512
110	6mos	CD70-/-	11_Follicular	3.80666248977032
110	6mos	CD70-/-	7_Age-associated/autoimmune	1.94591014905531
110	6mos	CD70-/-	4_Atypical CD21-CD23-	3.36729582998647
110	6mos	CD70-/-	8_Age-associated/autoimmune	2.19722457733622
110	6mos	CD70-/-	10_Follicular IFN-stimulated	3.73766961828337
110	6mos	CD70-/-	1_Marginal Zone	4.51769310217347
110	6mos	CD70-/-	15_Plasmablasts	2.04319187054512
110	6mos	CD70-/-	12_Follicular	3.2188758248682
110	6mos	CD70-/-	20_Ig-restricted	3.31949257615475
110	6mos	CD70-/-	23_Ig-restricted	2.70805020110221
110	6mos	CD70-/-	2_Transitional (T2)	4.70612124307081
110	6mos	CD70-/-	3_Atypical CD21lowCD23low	3.72896071194659
110	6mos	CD70-/-	6_Follicular	3.02802907330741
110	6mos	CD70-/-	25_Ig-restricted	2.19722457733622
110	6mos	CD70-/-	16_Other	2.07944154167984
110	6mos	CD70-/-	13_Follicular	2.30258509299405
110	6mos	CD70-/-	5_Atypical Marginal Zone	3.2188758248682
110	6mos	CD70-/-	14_Follicular Serpina3+	1.38629436111989
110	6mos	CD70-/-	17_Ig-restricted	2.94443897916644
110	6mos	CD70-/-	27_Light Zone	2.63905732961526
110	6mos	CD70-/-	18_Cycling MHCII low	1.6094379124341
110	6mos	CD70-/-	19_Cycling MHCII low	1.09861228866811
110	6mos	CD70-/-	21_Cycling MHCII low	NA
110	6mos	CD70-/-	22_Pre-plasmablasts	NA
111	6mos	CD70-/-	0_Follicular	5.35301999295531
111	6mos	CD70-/-	1_Marginal Zone	4.58766914335374
111	6mos	CD70-/-	6_Follicular	3.78418963391826
111	6mos	CD70-/-	2_Transitional (T2)	4.58766914335374
111	6mos	CD70-/-	8_Age-associated/autoimmune	3.06252930025462
111	6mos	CD70-/-	13_Follicular	2.77258872223978
111	6mos	CD70-/-	11_Follicular	3.36729582998647
111	6mos	CD70-/-	10_Follicular IFN-stimulated	3.29583686600433
111	6mos	CD70-/-	4_Atypical CD21-CD23-	3.04452243772342
111	6mos	CD70-/-	3_Atypical CD21lowCD23low	3.87120101090789
111	6mos	CD70-/-	5_Atypical Marginal Zone	3.49650756146648
111	6mos	CD70-/-	16_Other	NA
111	6mos	CD70-/-	12_Follicular	3.46573590279973
111	6mos	CD70-/-	25_Ig-restricted	2.07944154167984
111	6mos	CD70-/-	23_Ig-restricted	2.484906649788
111	6mos	CD70-/-	15_Plasmablasts	3.37909250522973
111	6mos	CD70-/-	27_Light Zone	1.6094379124341
111	6mos	CD70-/-	14_Follicular Serpina3+	2.484906649788
111	6mos	CD70-/-	21_Cycling MHCII low	1.94591014905531
111	6mos	CD70-/-	24_Follicular	2.77258872223978
111	6mos	CD70-/-	17_Ig-restricted	2.07944154167984
111	6mos	CD70-/-	20_Ig-restricted	3.07522054805437
111	6mos	CD70-/-	18_Cycling MHCII low	1.94591014905531
111	6mos	CD70-/-	7_Age-associated/autoimmune	3.09104245335832
111	6mos	CD70-/-	9_Follicular Hspa1+	2.83321334405622
111	6mos	CD70-/-	19_Cycling MHCII low	1.09861228866811
111	6mos	CD70-/-	22_Pre-plasmablasts	1.09861228866811
158	6mos	Bcl6tg/+	6_Follicular	4.07753744390572
158	6mos	Bcl6tg/+	2_Transitional (T2)	4.87519732320115
158	6mos	Bcl6tg/+	7_Age-associated/autoimmune	3.13549421592915
158	6mos	Bcl6tg/+	9_Follicular Hspa1+	3.89182029811063
158	6mos	Bcl6tg/+	0_Follicular	5.27752295113124
158	6mos	Bcl6tg/+	27_Light Zone	2.56494935746154
158	6mos	Bcl6tg/+	20_Ig-restricted	2.77258872223978
158	6mos	Bcl6tg/+	4_Atypical CD21-CD23-	3.63758615972639
158	6mos	Bcl6tg/+	23_Ig-restricted	2.99573227355399
158	6mos	Bcl6tg/+	14_Follicular Serpina3+	2.30258509299405
158	6mos	Bcl6tg/+	13_Follicular	2.39789527279837
158	6mos	Bcl6tg/+	3_Atypical CD21lowCD23low	3.78418963391826
158	6mos	Bcl6tg/+	10_Follicular IFN-stimulated	3.2188758248682
158	6mos	Bcl6tg/+	12_Follicular	3.49650756146648
158	6mos	Bcl6tg/+	11_Follicular	3.61091791264422
158	6mos	Bcl6tg/+	17_Ig-restricted	2.77258872223978
158	6mos	Bcl6tg/+	16_Other	2.04319187054512
158	6mos	Bcl6tg/+	8_Age-associated/autoimmune	2.63905732961526
158	6mos	Bcl6tg/+	19_Cycling MHCII low	1.6094379124341
158	6mos	Bcl6tg/+	1_Marginal Zone	4.38202663467388
158	6mos	Bcl6tg/+	22_Pre-plasmablasts	1.79175946922805
158	6mos	Bcl6tg/+	24_Follicular	2.77258872223978
158	6mos	Bcl6tg/+	18_Cycling MHCII low	1.38629436111989
158	6mos	Bcl6tg/+	25_Ig-restricted	2.56494935746154
158	6mos	Bcl6tg/+	5_Atypical Marginal Zone	2.77258872223978
158	6mos	Bcl6tg/+	15_Plasmablasts	2.19722457733622
159	6mos	Bcl6tg/+	1_Marginal Zone	4.52178857704904
