sample_id	age	genotype	new_annotation	entropy
146	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	1.79175946922805
146	6mos	CD70-/-;Bcl6tg/+	5_Other	1.09861228866811
146	6mos	CD70-/-;Bcl6tg/+	11_Cycling	1.38629436111989
146	6mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	1.38629436111989
146	6mos	CD70-/-;Bcl6tg/+	16_Terminally exhausted CTLs	1.33217904021012
211	6mos	CD70-/-;Bcl6tg/+	6_CM/EM	2.19722457733622
211	6mos	CD70-/-;Bcl6tg/+	1_CM/EM	3.17805383034795
211	6mos	CD70-/-;Bcl6tg/+	4_Naïve	2.70805020110221
211	6mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	1.79175946922805
211	6mos	CD70-/-;Bcl6tg/+	0_Naïve	3.73766961828337
211	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	1.38629436111989
211	6mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	1.38629436111989
211	6mos	CD70-/-;Bcl6tg/+	5_Other	1.09861228866811
211	6mos	CD70-/-;Bcl6tg/+	11_Cycling	NA
211	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	1.94591014905531
211	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	NA
211	6mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	1.09861228866811
213	6mos	CD70-/-;Bcl6tg/+	1_CM/EM	2.07944154167984
213	6mos	CD70-/-;Bcl6tg/+	4_Naïve	2.484906649788
213	6mos	CD70-/-;Bcl6tg/+	0_Naïve	3.73766961828337
213	6mos	CD70-/-;Bcl6tg/+	5_Other	NA
213	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	NA
213	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	NA
213	6mos	CD70-/-;Bcl6tg/+	6_CM/EM	1.38629436111989
213	6mos	CD70-/-;Bcl6tg/+	16_Terminally exhausted CTLs	NA
213	6mos	CD70-/-;Bcl6tg/+	11_Cycling	NA
213	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	1.09861228866811
213	6mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	NA
213	6mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	NA
213	6mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	NA
280	6mos	CD70-/-;Bcl6tg/+	1_CM/EM	3.47241498076134
