sample_id	age	genotype	new_annotation	richness
079	14mos	CD70-/-	5_Other	NA
079	14mos	CD70-/-	7_CM/EM	6
079	14mos	CD70-/-	13_Early exhausted CTLs	NA
010b	14mos	CD70-/-	1_CM/EM	53
010b	14mos	CD70-/-	0_Naïve	52
010b	14mos	CD70-/-	9_Non-exhausted effectors	NA
010b	14mos	CD70-/-	7_CM/EM	6
010b	14mos	CD70-/-	4_Naïve	18
010b	14mos	CD70-/-	6_CM/EM	15
010b	14mos	CD70-/-	13_Early exhausted CTLs	3
010b	14mos	CD70-/-	5_Other	4
010b	14mos	CD70-/-	8_Precursor exhausted CTLs	NA
008	14mos	CD70-/-	1_CM/EM	53
008	14mos	CD70-/-	0_Naïve	26
008	14mos	CD70-/-	7_CM/EM	6
008	14mos	CD70-/-	13_Early exhausted CTLs	NA
008	14mos	CD70-/-	4_Naïve	11
008	14mos	CD70-/-	6_CM/EM	11
008	14mos	CD70-/-	3_Activated CTLs	NA
008	14mos	CD70-/-	11_Cycling	4
008	14mos	CD70-/-	9_Non-exhausted effectors	6
008	14mos	CD70-/-	5_Other	NA
008	14mos	CD70-/-	2_Exhausted CTLs	NA
008	14mos	CD70-/-	8_Precursor exhausted CTLs	NA
075	14mos	CD70-/-	1_CM/EM	2
075	14mos	CD70-/-	11_Cycling	1
075	14mos	CD70-/-	0_Naïve	8
075	14mos	CD70-/-	6_CM/EM	1
075	14mos	CD70-/-	7_CM/EM	2
075	14mos	CD70-/-	3_Activated CTLs	3
075	14mos	CD70-/-	8_Precursor exhausted CTLs	3
075	14mos	CD70-/-	9_Non-exhausted effectors	3
075	14mos	CD70-/-	2_Exhausted CTLs	3
075	14mos	CD70-/-	13_Early exhausted CTLs	1
075	14mos	CD70-/-	5_Other	NA
075	14mos	CD70-/-	4_Naïve	3
076	14mos	CD70-/-	7_CM/EM	NA
076	14mos	CD70-/-	5_Other	NA
076	14mos	CD70-/-	6_CM/EM	NA
076	14mos	CD70-/-	9_Non-exhausted effectors	NA
076	14mos	CD70-/-	1_CM/EM	NA
076	14mos	CD70-/-	3_Activated CTLs	NA
076	14mos	CD70-/-	4_Naïve	NA
126	14mos	CD70-/-	6_CM/EM	20
126	14mos	CD70-/-	4_Naïve	11
126	14mos	CD70-/-	7_CM/EM	18
126	14mos	CD70-/-	3_Activated CTLs	4
126	14mos	CD70-/-	0_Naïve	35
126	14mos	CD70-/-	1_CM/EM	53
126	14mos	CD70-/-	8_Precursor exhausted CTLs	5
126	14mos	CD70-/-	5_Other	3
126	14mos	CD70-/-	13_Early exhausted CTLs	3
126	14mos	CD70-/-	2_Exhausted CTLs	NA
126	14mos	CD70-/-	9_Non-exhausted effectors	NA
035	14mos	Bcl6tg/+	2_Exhausted CTLs	7
035	14mos	Bcl6tg/+	6_CM/EM	NA
035	14mos	Bcl6tg/+	1_CM/EM	NA
035	14mos	Bcl6tg/+	5_Other	NA
035	14mos	Bcl6tg/+	7_CM/EM	NA
035	14mos	Bcl6tg/+	3_Activated CTLs	NA
035	14mos	Bcl6tg/+	4_Naïve	NA
035	14mos	Bcl6tg/+	9_Non-exhausted effectors	NA
035	14mos	Bcl6tg/+	0_Naïve	NA
035	14mos	Bcl6tg/+	8_Precursor exhausted CTLs	3
035	14mos	Bcl6tg/+	16_Terminally exhausted CTLs	NA
035	14mos	Bcl6tg/+	13_Early exhausted CTLs	NA
031	14mos	Bcl6tg/+	3_Activated CTLs	21
031	14mos	Bcl6tg/+	2_Exhausted CTLs	37
031	14mos	Bcl6tg/+	11_Cycling	9
031	14mos	Bcl6tg/+	5_Other	3
